class_weight,max_features,min_samples_leaf,n_estimators,train_auc,test_auc
,3,20,250,0.9989776293271907,0.9510746399886993
,3,20,500,0.99828364271854,0.9492180138623411
,4,20,250,0.9982829527807061,0.9496814842461228
,4,20,500,0.9984079716003434,0.9512577782352818
,5,20,250,0.998413051646163,0.9507912197237933
,5,20,500,0.9984728371367553,0.9488668348824096
,6,20,250,0.9984754695152147,0.9496741505338827
,6,20,500,0.998506818008885,0.949731438684757
balanced,3,20,250,0.9985117754824437,0.949965120377755
balanced,3,20,500,0.9989776293271908,0.9510746399886993
balanced,4,20,250,0.9989796530895387,0.9489201697939741
balanced,4,20,500,0.9990433659084053,0.9464463019578402
balanced,5,20,250,0.9990465970350471,0.9469093422528687
balanced,5,20,500,0.9990810635008169,0.9458958362555178